Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
24355731,The Hercules Text,Jack McDevitt,"McDevitt, Jack",,"=""069816685X""","=""""",5,3.68,Ace,Kindle Edition,354,2015,1986,,2024/09/14,,,read,,,,1,0
29094887,"War Factory (Transformation, #2)",Neal Asher,"Asher, Neal",,"=""""","=""""",5,4.25,Night Shade Books,Kindle Edition,478,2016,2016,,2024/09/14,,,read,,,,1,0
35906,The Elements of Style; How to Speak and Write Correctly,William Strunk Jr.,"Jr., William Strunk",Joseph Devlin,"=""9562912639""","=""9789562912631""",5,4.31,www.Bnpublishing.com,Paperback,164,2006,2007,,2024/09/14,,,read,,,,1,0
20633607,"Teardrops In The Night Sky (Steven Gordon, #1)",J.W. Murison,"Murison, J.W.",,"=""""","=""""",5,4.15,Amazon,Kindle Edition,311,2014,2013,,2024/09/14,,,read,,,,1,0
25758852,"The Black Planet (Steven Gordon, #2)",J.W. Murison,"Murison, J.W.",,"=""""","=""""",5,4.17,Create Space,Kindle Edition,400,2015,2015,,2024/09/14,,,read,,,,1,0
25924371,New World (Course of the Worlds Book 2),J.A. Hawkings,"Hawkings, J.A.",,"=""""","=""""",5,3.36,,Kindle Edition,70,2015,2015,,2024/09/14,,,read,,,,1,0
26022101,Cosmic Destinies (Course of the Worlds Book 3),J.A. Hawkings,"Hawkings, J.A.",,"=""""","=""""",5,3.40,,Kindle Edition,73,2015,2015,,2024/09/14,,,read,,,,1,0
24185349,Schismatrix Plus,Bruce Sterling,"Sterling, Bruce",,"=""""","=""""",5,3.93,Open Road Media Sci-Fi & Fantasy,Kindle Edition,338,2014,1996,,2024/09/14,,,read,,,,1,0
22913863,Anton's OpenGL 4 Tutorials,Anton Gerdelan,"Gerdelan, Anton",,"=""""","=""""",5,4.30,,Kindle Edition,607,2014,2014,,2024/09/14,,,read,,,,1,0
2287610,OpenGL ES Game Development (Game Development Series),Dave Astle,"Astle, Dave",,"=""1592003702""","=""9781592003709""",5,3.00,Course Technology PTR,Paperback,400,2004,2004,,2024/09/14,,,read,,,,1,0
26215914,"Caretaker (Caretaker Chronicles, #1)",Josi Russell,"Russell, Josi",,"=""195002010X""","=""9781950020102""",5,3.83,Future House Publishing,Kindle Edition,325,2015,2015,,2024/09/14,,,read,,,,1,0
22585296,"Unborn (Unborn, #1)",Amber Lynn Natusch,"Natusch, Amber Lynn",,"=""1477874291""","=""9781477874295""",5,3.72,47North,Kindle Edition,258,2014,2014,,2024/09/14,,,read,,,,1,0
25874096,The Last Spaceship (Course of the Worlds Book 1),J.A. Hawkings,"Hawkings, J.A.",,"=""""","=""""",5,3.39,,Kindle Edition,96,2015,2015,,2024/09/14,,,read,,,,1,0
24355734,The Long Utopia (The Long Earth #4),Terry Pratchett,"Pratchett, Terry",Stephen Baxter,"=""""","=""""",5,3.90,Harper,Kindle Edition,373,2015,2015,,2024/09/14,,,read,,,,1,0
18021144,The Long War (The Long Earth #2),Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",5,3.65,Harper,Kindle Edition,432,2013,2013,,2024/09/14,,,read,,,,1,0
19731915,"The Long Mars (Long Earth, #3)",Terry Pratchett,"Pratchett, Terry",Stephen Baxter,"=""""","=""""",5,3.76,Harper,Kindle Edition,373,2014,2014,,2024/09/14,,,read,,,,1,0
13604418,"The Long Earth (The Long Earth, #1)",Stephen Baxter,"Baxter, Stephen",Terry Pratchett,"=""""","=""""",5,3.78,Harper,Kindle Edition,336,2012,2012,,2024/09/14,,,read,,,,1,0
6309863,"Manifold: Space (Manifold, #2)",Stephen Baxter,"Baxter, Stephen",,"=""""","=""""",5,3.90,Del Rey,Kindle Edition,512,2003,2000,,2024/09/14,,,read,,,,1,0
6309861,"Manifold: Origin (Manifold, #3)",Stephen Baxter,"Baxter, Stephen",,"=""""","=""""",5,3.71,Del Rey,Kindle Edition,544,2002,2001,,2024/09/14,,,read,,,,1,0
